You are using the XLSTAT trial version. Number of days remaining until the trial expires: 14;;;;;;;;;;;
;;;;;;;;;;;
sss;;;;;;;;;;;
Observations/variables table: Workbook = GRAB.csv / Sheet = GRAB / Range = GRAB!$A$2:$A$526 / 524 rows and 1 column;;;;;;;;;;;
Cluster rows;;;;;;;;;;;
Dissimilarity: Euclidean distance;;;;;;;;;;;
Agglomeration method: Ward's method;;;;;;;;;;;
Center: No / Reduce: No;;;;;;;;;;;
Truncation: Hartigan index (adapted);;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Summary statistics:;;;;;;;;;;;
;;;;;;;;;;;
Variable;Observations;Obs. with missing data;Obs. without missing data;Minimum;Maximum;Mean;Std. deviation;;;;
01/12/2021;524;0;524;44532,000;45294,000;44912,824;220,179;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Node statistics:;;;;;;;;;;;
;;;;;;;;;;;
Node;Level;Weight;Objects;Left son;Right son;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;; ;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Inertia decomposition for the optimal classification:;;;;;;;;;;;
;;;;;;;;;;;
;Absolute;Percent;;;;;;;;;
Within-cluster;1580498,225;6,23%;;;;;;;;;
Between-clusters;23773929,623;93,77%;;;;;;;;;
Total inertia;25354427,847;100,00%;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Cluster centroids:;;;;;;;;;;;
;;;;;;;;;;;
Cluster;01/12/2021;Sum of weights;Within-cluster variance;;;;;;;;
1;44637,918;146,000;3774,517;;;;;;;;
2;44832,426;122,000;2541,767;;;;;;;;
3;45015,063;128,000;2900,091;;;;;;;;
4;45200,781;128,000;2813,605;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Distances between the cluster centroids:;;;;;;;;;;;
;;;;;;;;;;;
;1;2;3;4;;;;;;;
1;0;194,508;377,145;562,863;;;;;;;
2;194,508;0;182,636;368,355;;;;;;;
3;377,145;182,636;0;185,719;;;;;;;
4;562,863;368,355;185,719;0;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Central objects:;;;;;;;;;;;
;;;;;;;;;;;
Cluster;01/12/2021;;;;;;;;;;
1 (Obs74);44638,000;;;;;;;;;;
2 (Obs207);44832,000;;;;;;;;;;
3 (Obs333);45015,000;;;;;;;;;;
4 (Obs460);45201,000;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Distances between the central objects:;;;;;;;;;;;
;;;;;;;;;;;
;1 (Obs74);2 (Obs207);3 (Obs333);4 (Obs460);;;;;;;
1 (Obs74);0;194,000;377,000;563,000;;;;;;;
2 (Obs207);194,000;0;183,000;369,000;;;;;;;
3 (Obs333);377,000;183,000;0;186,000;;;;;;;
4 (Obs460);563,000;369,000;186,000;0;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Results by cluster:;;;;;;;;;;;
;;;;;;;;;;;
Cluster;1;2;3;4;;;;;;;
Number of objects by cluster;146;122;128;128;;;;;;;
Sum of weights;146;122;128;128;;;;;;;
Within-cluster variance;3774,517;2541,767;2900,091;2813,605;;;;;;;
Minimum distance to centroid;0,082;0,426;0,062;0,219;;;;;;;
Average distance to centroid;52,890;43,443;46,376;45,675;;;;;;;
Maximum distance to centroid;105,918;85,574;93,062;93,219;;;;;;;
;Obs1;Obs147;Obs269;Obs397;;;;;;;
;Obs2;Obs148;Obs270;Obs398;;;;;;;
;Obs3;Obs149;Obs271;Obs399;;;;;;;
;Obs4;Obs150;Obs272;Obs400;;;;;;;
;Obs5;Obs151;Obs273;Obs401;;;;;;;
;Obs6;Obs152;Obs274;Obs402;;;;;;;
;Obs7;Obs153;Obs275;Obs403;;;;;;;
;Obs8;Obs154;Obs276;Obs404;;;;;;;
;Obs9;Obs155;Obs277;Obs405;;;;;;;
;Obs10;Obs156;Obs278;Obs406;;;;;;;
;Obs11;Obs157;Obs279;Obs407;;;;;;;
;Obs12;Obs158;Obs280;Obs408;;;;;;;
;Obs13;Obs159;Obs281;Obs409;;;;;;;
;Obs14;Obs160;Obs282;Obs410;;;;;;;
;Obs15;Obs161;Obs283;Obs411;;;;;;;
;Obs16;Obs162;Obs284;Obs412;;;;;;;
;Obs17;Obs163;Obs285;Obs413;;;;;;;
;Obs18;Obs164;Obs286;Obs414;;;;;;;
;Obs19;Obs165;Obs287;Obs415;;;;;;;
;Obs20;Obs166;Obs288;Obs416;;;;;;;
;Obs21;Obs167;Obs289;Obs417;;;;;;;
;Obs22;Obs168;Obs290;Obs418;;;;;;;
;Obs23;Obs169;Obs291;Obs419;;;;;;;
;Obs24;Obs170;Obs292;Obs420;;;;;;;
;Obs25;Obs171;Obs293;Obs421;;;;;;;
;Obs26;Obs172;Obs294;Obs422;;;;;;;
;Obs27;Obs173;Obs295;Obs423;;;;;;;
;Obs28;Obs174;Obs296;Obs424;;;;;;;
;Obs29;Obs175;Obs297;Obs425;;;;;;;
;Obs30;Obs176;Obs298;Obs426;;;;;;;
;Obs31;Obs177;Obs299;Obs427;;;;;;;
;Obs32;Obs178;Obs300;Obs428;;;;;;;
;Obs33;Obs179;Obs301;Obs429;;;;;;;
;Obs34;Obs180;Obs302;Obs430;;;;;;;
;Obs35;Obs181;Obs303;Obs431;;;;;;;
;Obs36;Obs182;Obs304;Obs432;;;;;;;
;Obs37;Obs183;Obs305;Obs433;;;;;;;
;Obs38;Obs184;Obs306;Obs434;;;;;;;
;Obs39;Obs185;Obs307;Obs435;;;;;;;
;Obs40;Obs186;Obs308;Obs436;;;;;;;
;Obs41;Obs187;Obs309;Obs437;;;;;;;
;Obs42;Obs188;Obs310;Obs438;;;;;;;
;Obs43;Obs189;Obs311;Obs439;;;;;;;
;Obs44;Obs190;Obs312;Obs440;;;;;;;
;Obs45;Obs191;Obs313;Obs441;;;;;;;
;Obs46;Obs192;Obs314;Obs442;;;;;;;
;Obs47;Obs193;Obs315;Obs443;;;;;;;
;Obs48;Obs194;Obs316;Obs444;;;;;;;
;Obs49;Obs195;Obs317;Obs445;;;;;;;
;Obs50;Obs196;Obs318;Obs446;;;;;;;
;Obs51;Obs197;Obs319;Obs447;;;;;;;
;Obs52;Obs198;Obs320;Obs448;;;;;;;
;Obs53;Obs199;Obs321;Obs449;;;;;;;
;Obs54;Obs200;Obs322;Obs450;;;;;;;
;Obs55;Obs201;Obs323;Obs451;;;;;;;
;Obs56;Obs202;Obs324;Obs452;;;;;;;
;Obs57;Obs203;Obs325;Obs453;;;;;;;
;Obs58;Obs204;Obs326;Obs454;;;;;;;
;Obs59;Obs205;Obs327;Obs455;;;;;;;
;Obs60;Obs206;Obs328;Obs456;;;;;;;
;Obs61;Obs207;Obs329;Obs457;;;;;;;
;Obs62;Obs208;Obs330;Obs458;;;;;;;
;Obs63;Obs209;Obs331;Obs459;;;;;;;
;Obs64;Obs210;Obs332;Obs460;;;;;;;
;Obs65;Obs211;Obs333;Obs461;;;;;;;
;Obs66;Obs212;Obs334;Obs462;;;;;;;
;Obs67;Obs213;Obs335;Obs463;;;;;;;
;Obs68;Obs214;Obs336;Obs464;;;;;;;
;Obs69;Obs215;Obs337;Obs465;;;;;;;
;Obs70;Obs216;Obs338;Obs466;;;;;;;
;Obs71;Obs217;Obs339;Obs467;;;;;;;
;Obs72;Obs218;Obs340;Obs468;;;;;;;
;Obs73;Obs219;Obs341;Obs469;;;;;;;
;Obs74;Obs220;Obs342;Obs470;;;;;;;
;Obs75;Obs221;Obs343;Obs471;;;;;;;
;Obs76;Obs222;Obs344;Obs472;;;;;;;
;Obs77;Obs223;Obs345;Obs473;;;;;;;
;Obs78;Obs224;Obs346;Obs474;;;;;;;
;Obs79;Obs225;Obs347;Obs475;;;;;;;
;Obs80;Obs226;Obs348;Obs476;;;;;;;
;Obs81;Obs227;Obs349;Obs477;;;;;;;
;Obs82;Obs228;Obs350;Obs478;;;;;;;
;Obs83;Obs229;Obs351;Obs479;;;;;;;
;Obs84;Obs230;Obs352;Obs480;;;;;;;
;Obs85;Obs231;Obs353;Obs481;;;;;;;
;Obs86;Obs232;Obs354;Obs482;;;;;;;
;Obs87;Obs233;Obs355;Obs483;;;;;;;
;Obs88;Obs234;Obs356;Obs484;;;;;;;
;Obs89;Obs235;Obs357;Obs485;;;;;;;
;Obs90;Obs236;Obs358;Obs486;;;;;;;
;Obs91;Obs237;Obs359;Obs487;;;;;;;
;Obs92;Obs238;Obs360;Obs488;;;;;;;
;Obs93;Obs239;Obs361;Obs489;;;;;;;
;Obs94;Obs240;Obs362;Obs490;;;;;;;
;Obs95;Obs241;Obs363;Obs491;;;;;;;
;Obs96;Obs242;Obs364;Obs492;;;;;;;
;Obs97;Obs243;Obs365;Obs493;;;;;;;
;Obs98;Obs244;Obs366;Obs494;;;;;;;
;Obs99;Obs245;Obs367;Obs495;;;;;;;
;Obs100;Obs246;Obs368;Obs496;;;;;;;
;Obs101;Obs247;Obs369;Obs497;;;;;;;
;Obs102;Obs248;Obs370;Obs498;;;;;;;
;Obs103;Obs249;Obs371;Obs499;;;;;;;
;Obs104;Obs250;Obs372;Obs500;;;;;;;
;Obs105;Obs251;Obs373;Obs501;;;;;;;
;Obs106;Obs252;Obs374;Obs502;;;;;;;
;Obs107;Obs253;Obs375;Obs503;;;;;;;
;Obs108;Obs254;Obs376;Obs504;;;;;;;
;Obs109;Obs255;Obs377;Obs505;;;;;;;
;Obs110;Obs256;Obs378;Obs506;;;;;;;
;Obs111;Obs257;Obs379;Obs507;;;;;;;
;Obs112;Obs258;Obs380;Obs508;;;;;;;
;Obs113;Obs259;Obs381;Obs509;;;;;;;
;Obs114;Obs260;Obs382;Obs510;;;;;;;
;Obs115;Obs261;Obs383;Obs511;;;;;;;
;Obs116;Obs262;Obs384;Obs512;;;;;;;
;Obs117;Obs263;Obs385;Obs513;;;;;;;
;Obs118;Obs264;Obs386;Obs514;;;;;;;
;Obs119;Obs265;Obs387;Obs515;;;;;;;
;Obs120;Obs266;Obs388;Obs516;;;;;;;
;Obs121;Obs267;Obs389;Obs517;;;;;;;
;Obs122;Obs268;Obs390;Obs518;;;;;;;
;Obs123;;Obs391;Obs519;;;;;;;
;Obs124;;Obs392;Obs520;;;;;;;
;Obs125;;Obs393;Obs521;;;;;;;
;Obs126;;Obs394;Obs522;;;;;;;
;Obs127;;Obs395;Obs523;;;;;;;
;Obs128;;Obs396;Obs524;;;;;;;
;Obs129;;;;;;;;;;
;Obs130;;;;;;;;;;
;Obs131;;;;;;;;;;
;Obs132;;;;;;;;;;
;Obs133;;;;;;;;;;
;Obs134;;;;;;;;;;
;Obs135;;;;;;;;;;
;Obs136;;;;;;;;;;
;Obs137;;;;;;;;;;
;Obs138;;;;;;;;;;
;Obs139;;;;;;;;;;
;Obs140;;;;;;;;;;
;Obs141;;;;;;;;;;
;Obs142;;;;;;;;;;
;Obs143;;;;;;;;;;
;Obs144;;;;;;;;;;
;Obs145;;;;;;;;;;
;Obs146;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Results by object:;;;;;;;;;;;
;;;;;;;;;;;
Observation;Cluster;Distance to centroid;;;;;;;;;
Obs1;1;105,918;;;;;;;;;
Obs2;1;104,918;;;;;;;;;
Obs3;1;101,918;;;;;;;;;
Obs4;1;100,918;;;;;;;;;
Obs5;1;99,918;;;;;;;;;
Obs6;1;98,918;;;;;;;;;
Obs7;1;97,918;;;;;;;;;
Obs8;1;94,918;;;;;;;;;
Obs9;1;93,918;;;;;;;;;
Obs10;1;92,918;;;;;;;;;
Obs11;1;91,918;;;;;;;;;
Obs12;1;90,918;;;;;;;;;
Obs13;1;87,918;;;;;;;;;
Obs14;1;86,918;;;;;;;;;
Obs15;1;85,918;;;;;;;;;
Obs16;1;84,918;;;;;;;;;
Obs17;1;80,918;;;;;;;;;
Obs18;1;79,918;;;;;;;;;
Obs19;1;78,918;;;;;;;;;
Obs20;1;77,918;;;;;;;;;
Obs21;1;76,918;;;;;;;;;
Obs22;1;73,918;;;;;;;;;
Obs23;1;72,918;;;;;;;;;
Obs24;1;71,918;;;;;;;;;
Obs25;1;70,918;;;;;;;;;
Obs26;1;69,918;;;;;;;;;
Obs27;1;66,918;;;;;;;;;
Obs28;1;65,918;;;;;;;;;
Obs29;1;64,918;;;;;;;;;
Obs30;1;63,918;;;;;;;;;
Obs31;1;62,918;;;;;;;;;
Obs32;1;58,918;;;;;;;;;
Obs33;1;57,918;;;;;;;;;
Obs34;1;56,918;;;;;;;;;
Obs35;1;55,918;;;;;;;;;
Obs36;1;52,918;;;;;;;;;
Obs37;1;51,918;;;;;;;;;
Obs38;1;50,918;;;;;;;;;
Obs39;1;49,918;;;;;;;;;
Obs40;1;48,918;;;;;;;;;
Obs41;1;45,918;;;;;;;;;
Obs42;1;44,918;;;;;;;;;
Obs43;1;43,918;;;;;;;;;
Obs44;1;42,918;;;;;;;;;
Obs45;1;41,918;;;;;;;;;
Obs46;1;38,918;;;;;;;;;
Obs47;1;37,918;;;;;;;;;
Obs48;1;36,918;;;;;;;;;
Obs49;1;35,918;;;;;;;;;
Obs50;1;34,918;;;;;;;;;
Obs51;1;31,918;;;;;;;;;
Obs52;1;30,918;;;;;;;;;
Obs53;1;29,918;;;;;;;;;
Obs54;1;28,918;;;;;;;;;
Obs55;1;27,918;;;;;;;;;
Obs56;1;23,918;;;;;;;;;
Obs57;1;22,918;;;;;;;;;
Obs58;1;21,918;;;;;;;;;
Obs59;1;20,918;;;;;;;;;
Obs60;1;17,918;;;;;;;;;
Obs61;1;16,918;;;;;;;;;
Obs62;1;15,918;;;;;;;;;
Obs63;1;14,918;;;;;;;;;
Obs64;1;13,918;;;;;;;;;
Obs65;1;10,918;;;;;;;;;
Obs66;1;9,918;;;;;;;;;
Obs67;1;8,918;;;;;;;;;
Obs68;1;7,918;;;;;;;;;
Obs69;1;6,918;;;;;;;;;
Obs70;1;3,918;;;;;;;;;
Obs71;1;2,918;;;;;;;;;
Obs72;1;1,918;;;;;;;;;
Obs73;1;0,918;;;;;;;;;
Obs74;1;0,082;;;;;;;;;
Obs75;1;3,082;;;;;;;;;
Obs76;1;4,082;;;;;;;;;
Obs77;1;5,082;;;;;;;;;
Obs78;1;6,082;;;;;;;;;
Obs79;1;7,082;;;;;;;;;
Obs80;1;10,082;;;;;;;;;
Obs81;1;11,082;;;;;;;;;
Obs82;1;12,082;;;;;;;;;
Obs83;1;13,082;;;;;;;;;
Obs84;1;14,082;;;;;;;;;
Obs85;1;17,082;;;;;;;;;
Obs86;1;18,082;;;;;;;;;
Obs87;1;19,082;;;;;;;;;
Obs88;1;20,082;;;;;;;;;
Obs89;1;21,082;;;;;;;;;
Obs90;1;24,082;;;;;;;;;
Obs91;1;25,082;;;;;;;;;
Obs92;1;26,082;;;;;;;;;
Obs93;1;27,082;;;;;;;;;
Obs94;1;31,082;;;;;;;;;
Obs95;1;32,082;;;;;;;;;
Obs96;1;33,082;;;;;;;;;
Obs97;1;34,082;;;;;;;;;
Obs98;1;35,082;;;;;;;;;
Obs99;1;38,082;;;;;;;;;
Obs100;1;39,082;;;;;;;;;
Obs101;1;40,082;;;;;;;;;
Obs102;1;41,082;;;;;;;;;
Obs103;1;42,082;;;;;;;;;
Obs104;1;45,082;;;;;;;;;
Obs105;1;46,082;;;;;;;;;
Obs106;1;47,082;;;;;;;;;
Obs107;1;48,082;;;;;;;;;
Obs108;1;49,082;;;;;;;;;
Obs109;1;52,082;;;;;;;;;
Obs110;1;53,082;;;;;;;;;
Obs111;1;54,082;;;;;;;;;
Obs112;1;55,082;;;;;;;;;
Obs113;1;56,082;;;;;;;;;
Obs114;1;59,082;;;;;;;;;
Obs115;1;60,082;;;;;;;;;
Obs116;1;61,082;;;;;;;;;
Obs117;1;62,082;;;;;;;;;
Obs118;1;63,082;;;;;;;;;
Obs119;1;66,082;;;;;;;;;
Obs120;1;67,082;;;;;;;;;
Obs121;1;68,082;;;;;;;;;
Obs122;1;69,082;;;;;;;;;
Obs123;1;70,082;;;;;;;;;
Obs124;1;74,082;;;;;;;;;
Obs125;1;75,082;;;;;;;;;
Obs126;1;76,082;;;;;;;;;
Obs127;1;77,082;;;;;;;;;
Obs128;1;80,082;;;;;;;;;
Obs129;1;81,082;;;;;;;;;
Obs130;1;82,082;;;;;;;;;
Obs131;1;83,082;;;;;;;;;
Obs132;1;84,082;;;;;;;;;
Obs133;1;87,082;;;;;;;;;
Obs134;1;88,082;;;;;;;;;
Obs135;1;89,082;;;;;;;;;
Obs136;1;90,082;;;;;;;;;
Obs137;1;91,082;;;;;;;;;
Obs138;1;95,082;;;;;;;;;
Obs139;1;96,082;;;;;;;;;
Obs140;1;97,082;;;;;;;;;
Obs141;1;98,082;;;;;;;;;
Obs142;1;101,082;;;;;;;;;
Obs143;1;102,082;;;;;;;;;
Obs144;1;103,082;;;;;;;;;
Obs145;1;104,082;;;;;;;;;
Obs146;1;105,082;;;;;;;;;
Obs147;2;85,426;;;;;;;;;
Obs148;2;84,426;;;;;;;;;
Obs149;2;83,426;;;;;;;;;
Obs150;2;82,426;;;;;;;;;
Obs151;2;79,426;;;;;;;;;
Obs152;2;78,426;;;;;;;;;
Obs153;2;77,426;;;;;;;;;
Obs154;2;76,426;;;;;;;;;
Obs155;2;75,426;;;;;;;;;
Obs156;2;72,426;;;;;;;;;
Obs157;2;71,426;;;;;;;;;
Obs158;2;70,426;;;;;;;;;
Obs159;2;69,426;;;;;;;;;
Obs160;2;68,426;;;;;;;;;
Obs161;2;65,426;;;;;;;;;
Obs162;2;64,426;;;;;;;;;
Obs163;2;63,426;;;;;;;;;
Obs164;2;62,426;;;;;;;;;
Obs165;2;61,426;;;;;;;;;
Obs166;2;58,426;;;;;;;;;
Obs167;2;57,426;;;;;;;;;
Obs168;2;56,426;;;;;;;;;
Obs169;2;55,426;;;;;;;;;
Obs170;2;54,426;;;;;;;;;
Obs171;2;51,426;;;;;;;;;
Obs172;2;50,426;;;;;;;;;
Obs173;2;49,426;;;;;;;;;
Obs174;2;48,426;;;;;;;;;
Obs175;2;47,426;;;;;;;;;
Obs176;2;44,426;;;;;;;;;
Obs177;2;43,426;;;;;;;;;
Obs178;2;42,426;;;;;;;;;
Obs179;2;41,426;;;;;;;;;
Obs180;2;40,426;;;;;;;;;
Obs181;2;37,426;;;;;;;;;
Obs182;2;36,426;;;;;;;;;
Obs183;2;35,426;;;;;;;;;
Obs184;2;34,426;;;;;;;;;
Obs185;2;33,426;;;;;;;;;
Obs186;2;30,426;;;;;;;;;
Obs187;2;29,426;;;;;;;;;
Obs188;2;28,426;;;;;;;;;
Obs189;2;27,426;;;;;;;;;
Obs190;2;26,426;;;;;;;;;
Obs191;2;22,426;;;;;;;;;
Obs192;2;21,426;;;;;;;;;
Obs193;2;20,426;;;;;;;;;
Obs194;2;19,426;;;;;;;;;
Obs195;2;16,426;;;;;;;;;
Obs196;2;15,426;;;;;;;;;
Obs197;2;14,426;;;;;;;;;
Obs198;2;13,426;;;;;;;;;
Obs199;2;12,426;;;;;;;;;
Obs200;2;9,426;;;;;;;;;
Obs201;2;8,426;;;;;;;;;
Obs202;2;7,426;;;;;;;;;
Obs203;2;6,426;;;;;;;;;
Obs204;2;5,426;;;;;;;;;
Obs205;2;2,426;;;;;;;;;
Obs206;2;1,426;;;;;;;;;
Obs207;2;0,426;;;;;;;;;
Obs208;2;0,574;;;;;;;;;
Obs209;2;1,574;;;;;;;;;
Obs210;2;4,574;;;;;;;;;
Obs211;2;5,574;;;;;;;;;
Obs212;2;6,574;;;;;;;;;
Obs213;2;7,574;;;;;;;;;
Obs214;2;8,574;;;;;;;;;
Obs215;2;11,574;;;;;;;;;
Obs216;2;12,574;;;;;;;;;
Obs217;2;13,574;;;;;;;;;
Obs218;2;14,574;;;;;;;;;
Obs219;2;15,574;;;;;;;;;
Obs220;2;18,574;;;;;;;;;
Obs221;2;19,574;;;;;;;;;
Obs222;2;20,574;;;;;;;;;
Obs223;2;21,574;;;;;;;;;
Obs224;2;22,574;;;;;;;;;
Obs225;2;25,574;;;;;;;;;
Obs226;2;26,574;;;;;;;;;
Obs227;2;27,574;;;;;;;;;
Obs228;2;28,574;;;;;;;;;
Obs229;2;29,574;;;;;;;;;
Obs230;2;32,574;;;;;;;;;
Obs231;2;33,574;;;;;;;;;
Obs232;2;34,574;;;;;;;;;
Obs233;2;35,574;;;;;;;;;
Obs234;2;36,574;;;;;;;;;
Obs235;2;39,574;;;;;;;;;
Obs236;2;40,574;;;;;;;;;
Obs237;2;41,574;;;;;;;;;
Obs238;2;42,574;;;;;;;;;
Obs239;2;43,574;;;;;;;;;
Obs240;2;46,574;;;;;;;;;
Obs241;2;47,574;;;;;;;;;
Obs242;2;48,574;;;;;;;;;
Obs243;2;49,574;;;;;;;;;
Obs244;2;50,574;;;;;;;;;
Obs245;2;53,574;;;;;;;;;
Obs246;2;54,574;;;;;;;;;
Obs247;2;55,574;;;;;;;;;
Obs248;2;57,574;;;;;;;;;
Obs249;2;60,574;;;;;;;;;
Obs250;2;61,574;;;;;;;;;
Obs251;2;62,574;;;;;;;;;
Obs252;2;63,574;;;;;;;;;
Obs253;2;64,574;;;;;;;;;
Obs254;2;67,574;;;;;;;;;
Obs255;2;68,574;;;;;;;;;
Obs256;2;69,574;;;;;;;;;
Obs257;2;70,574;;;;;;;;;
Obs258;2;71,574;;;;;;;;;
Obs259;2;74,574;;;;;;;;;
Obs260;2;75,574;;;;;;;;;
Obs261;2;76,574;;;;;;;;;
Obs262;2;77,574;;;;;;;;;
Obs263;2;78,574;;;;;;;;;
Obs264;2;81,574;;;;;;;;;
Obs265;2;82,574;;;;;;;;;
Obs266;2;83,574;;;;;;;;;
Obs267;2;84,574;;;;;;;;;
Obs268;2;85,574;;;;;;;;;
Obs269;3;93,062;;;;;;;;;
Obs270;3;92,062;;;;;;;;;
Obs271;3;91,062;;;;;;;;;
Obs272;3;90,062;;;;;;;;;
Obs273;3;86,062;;;;;;;;;
Obs274;3;85,062;;;;;;;;;
Obs275;3;84,062;;;;;;;;;
Obs276;3;83,062;;;;;;;;;
Obs277;3;80,062;;;;;;;;;
Obs278;3;79,062;;;;;;;;;
Obs279;3;78,062;;;;;;;;;
Obs280;3;77,062;;;;;;;;;
Obs281;3;76,062;;;;;;;;;
Obs282;3;72,062;;;;;;;;;
Obs283;3;71,062;;;;;;;;;
Obs284;3;70,062;;;;;;;;;
Obs285;3;69,062;;;;;;;;;
Obs286;3;66,062;;;;;;;;;
Obs287;3;65,062;;;;;;;;;
Obs288;3;64,062;;;;;;;;;
Obs289;3;63,062;;;;;;;;;
Obs290;3;62,062;;;;;;;;;
Obs291;3;59,062;;;;;;;;;
Obs292;3;58,062;;;;;;;;;
Obs293;3;57,062;;;;;;;;;
Obs294;3;56,062;;;;;;;;;
Obs295;3;55,062;;;;;;;;;
Obs296;3;52,062;;;;;;;;;
Obs297;3;51,062;;;;;;;;;
Obs298;3;50,062;;;;;;;;;
Obs299;3;49,062;;;;;;;;;
Obs300;3;48,062;;;;;;;;;
Obs301;3;45,062;;;;;;;;;
Obs302;3;44,062;;;;;;;;;
Obs303;3;43,062;;;;;;;;;
Obs304;3;42,062;;;;;;;;;
Obs305;3;41,062;;;;;;;;;
Obs306;3;37,062;;;;;;;;;
Obs307;3;36,062;;;;;;;;;
Obs308;3;35,062;;;;;;;;;
Obs309;3;34,062;;;;;;;;;
Obs310;3;31,062;;;;;;;;;
Obs311;3;30,062;;;;;;;;;
Obs312;3;29,062;;;;;;;;;
Obs313;3;28,062;;;;;;;;;
Obs314;3;27,062;;;;;;;;;
Obs315;3;24,062;;;;;;;;;
Obs316;3;23,062;;;;;;;;;
Obs317;3;22,062;;;;;;;;;
Obs318;3;21,062;;;;;;;;;
Obs319;3;20,062;;;;;;;;;
Obs320;3;17,062;;;;;;;;;
Obs321;3;16,062;;;;;;;;;
Obs322;3;15,062;;;;;;;;;
Obs323;3;14,062;;;;;;;;;
Obs324;3;13,062;;;;;;;;;
Obs325;3;10,062;;;;;;;;;
Obs326;3;9,062;;;;;;;;;
Obs327;3;8,062;;;;;;;;;
Obs328;3;7,062;;;;;;;;;
Obs329;3;6,062;;;;;;;;;
Obs330;3;3,062;;;;;;;;;
Obs331;3;2,062;;;;;;;;;
Obs332;3;1,062;;;;;;;;;
Obs333;3;0,062;;;;;;;;;
Obs334;3;0,938;;;;;;;;;
Obs335;3;3,938;;;;;;;;;
Obs336;3;4,938;;;;;;;;;
Obs337;3;5,938;;;;;;;;;
Obs338;3;6,938;;;;;;;;;
Obs339;3;10,938;;;;;;;;;
Obs340;3;11,938;;;;;;;;;
Obs341;3;12,938;;;;;;;;;
Obs342;3;13,938;;;;;;;;;
Obs343;3;14,938;;;;;;;;;
Obs344;3;17,938;;;;;;;;;
Obs345;3;18,938;;;;;;;;;
Obs346;3;19,938;;;;;;;;;
Obs347;3;20,938;;;;;;;;;
Obs348;3;21,938;;;;;;;;;
Obs349;3;24,938;;;;;;;;;
Obs350;3;25,938;;;;;;;;;
Obs351;3;26,938;;;;;;;;;
Obs352;3;27,938;;;;;;;;;
Obs353;3;28,938;;;;;;;;;
Obs354;3;31,938;;;;;;;;;
Obs355;3;32,938;;;;;;;;;
Obs356;3;33,938;;;;;;;;;
Obs357;3;34,938;;;;;;;;;
Obs358;3;35,938;;;;;;;;;
Obs359;3;38,938;;;;;;;;;
Obs360;3;39,938;;;;;;;;;
Obs361;3;40,938;;;;;;;;;
Obs362;3;41,938;;;;;;;;;
Obs363;3;42,938;;;;;;;;;
Obs364;3;45,938;;;;;;;;;
Obs365;3;46,938;;;;;;;;;
Obs366;3;47,938;;;;;;;;;
Obs367;3;48,938;;;;;;;;;
Obs368;3;49,938;;;;;;;;;
Obs369;3;52,938;;;;;;;;;
Obs370;3;53,938;;;;;;;;;
Obs371;3;54,938;;;;;;;;;
Obs372;3;55,938;;;;;;;;;
Obs373;3;56,938;;;;;;;;;
Obs374;3;60,938;;;;;;;;;
Obs375;3;61,938;;;;;;;;;
Obs376;3;62,938;;;;;;;;;
Obs377;3;63,938;;;;;;;;;
Obs378;3;66,938;;;;;;;;;
Obs379;3;67,938;;;;;;;;;
Obs380;3;68,938;;;;;;;;;
Obs381;3;69,938;;;;;;;;;
Obs382;3;70,938;;;;;;;;;
Obs383;3;73,938;;;;;;;;;
Obs384;3;74,938;;;;;;;;;
Obs385;3;75,938;;;;;;;;;
Obs386;3;76,938;;;;;;;;;
Obs387;3;77,938;;;;;;;;;
Obs388;3;81,938;;;;;;;;;
Obs389;3;82,938;;;;;;;;;
Obs390;3;83,938;;;;;;;;;
Obs391;3;84,938;;;;;;;;;
Obs392;3;87,938;;;;;;;;;
Obs393;3;88,938;;;;;;;;;
Obs394;3;89,938;;;;;;;;;
Obs395;3;90,938;;;;;;;;;
Obs396;3;91,938;;;;;;;;;
Obs397;4;90,781;;;;;;;;;
Obs398;4;88,781;;;;;;;;;
Obs399;4;87,781;;;;;;;;;
Obs400;4;86,781;;;;;;;;;
Obs401;4;83,781;;;;;;;;;
Obs402;4;82,781;;;;;;;;;
Obs403;4;81,781;;;;;;;;;
Obs404;4;80,781;;;;;;;;;
Obs405;4;79,781;;;;;;;;;
Obs406;4;76,781;;;;;;;;;
Obs407;4;75,781;;;;;;;;;
Obs408;4;74,781;;;;;;;;;
Obs409;4;73,781;;;;;;;;;
Obs410;4;72,781;;;;;;;;;
Obs411;4;69,781;;;;;;;;;
Obs412;4;68,781;;;;;;;;;
Obs413;4;67,781;;;;;;;;;
Obs414;4;66,781;;;;;;;;;
Obs415;4;65,781;;;;;;;;;
Obs416;4;62,781;;;;;;;;;
Obs417;4;61,781;;;;;;;;;
