You are using the XLSTAT trial version. Number of days remaining until the trial expires: 14;;;;;;;;;;;
;;;;;;;;;;;
sss;;;;;;;;;;;
Observations/variables table: Workbook = GRAB.csv / Sheet = GRAB / Range = GRAB!$A$2:$A$526 / 524 rows and 1 column;;;;;;;;;;;
Cluster rows;;;;;;;;;;;
Dissimilarity: Euclidean distance;;;;;;;;;;;
Agglomeration method: Ward's method;;;;;;;;;;;
Center: No / Reduce: No;;;;;;;;;;;
Truncation: Hartigan index (adapted);;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Summary statistics:;;;;;;;;;;;
;;;;;;;;;;;
Variable;Observations;Obs. with missing data;Obs. without missing data;Minimum;Maximum;Mean;Std. deviation;;;;
01/12/2021;524;0;524;44532,000;45294,000;44912,824;220,179;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Node statistics:;;;;;;;;;;;
;;;;;;;;;;;
Node;Level;Weight;Objects;Left son;Right son;;;;;;
919;7,500;5;5;694;810;;;;;;
918;7,500;5;5;692;809;;;;;;
917;7,500;5;5;690;808;;;;;;
916;7,500;5;5;687;806;;;;;;
915;7,500;5;5;683;805;;;;;;
914;7,500;5;5;681;804;;;;;;
913;7,500;5;5;677;803;;;;;;
912;7,500;5;5;675;802;;;;;;
911;7,500;5;5;673;801;;;;;;
910;7,500;5;5;671;800;;;;;;
909;7,500;5;5;669;799;;;;;;
908;7,500;5;5;667;798;;;;;;
907;7,500;5;5;665;797;;;;;;
906;7,500;5;5;661;796;;;;;;
905;7,500;5;5;659;795;;;;;;
904;7,500;5;5;657;794;;;;;;
903;7,500;5;5;655;793;;;;;;
902;7,500;5;5;653;792;;;;;;
901;7,500;5;5;649;791;;;;;;
900;7,500;5;5;647;790;;;;;;
899;7,500;5;5;645;789;;;;;;
898;7,500;5;5;643;788;;;;;;
897;7,500;5;5;639;787;;;;;;
896;7,500;5;5;633;786;;;;;;
895;7,500;5;5;631;785;;;;;;
894;7,500;5;5;629;784;;;;;;
893;7,500;5;5;627;783;;;;;;
892;7,500;5;5;624;781;;;;;;
891;7,500;5;5;622;780;;;;;;
890;7,500;5;5;620;779;;;;;;
889;7,500;5;5;618;778;;;;;;
888;7,500;5;5;616;777;;;;;;
887;7,500;5;5;614;776;;;;;;
886;7,500;5;5;612;775;;;;;;
885;7,500;5;5;610;774;;;;;;
884;7,500;5;5;608;773;;;;;;
883;7,500;5;5;606;772;;;;;;
882;7,500;5;5;602;771;;;;;;
881;7,500;5;5;600;770;;;;;;
880;7,500;5;5;598;769;;;;;;
879;7,500;5;5;596;768;;;;;;
878;7,500;5;5;594;767;;;;;;
877;7,500;5;5;592;766;;;;;;
876;7,500;5;5;590;765;;;;;;
875;7,500;5;5;588;764;;;;;;
874;7,500;5;5;584;763;;;;;;
873;7,500;5;5;580;762;;;;;;
872;7,500;5;5;578;761;;;;;;
871;7,500;5;5;574;760;;;;;;
870;7,500;5;5;572;759;;;;;;
869;7,500;5;5;570;758;;;;;;
868;7,500;5;5;568;757;;;;;;
867;7,500;5;5;566;756;;;;;;
866;7,500;5;5;564;755;;;;;;
865;7,500;5;5;560;754;;;;;;
864;7,500;5;5;558;753;;;;;;
863;7,500;5;5;556;752;;;;;;
862;7,500;5;5;554;751;;;;;;
861;7,500;5;5;552;750;;;;;;
860;7,500;5;5;550;749;;;;;;
859;7,500;5;5;546;748;;;;;;
858;7,500;5;5;544;747;;;;;;
857;7,500;5;5;542;746;;;;;;
856;7,500;5;5;540;745;;;;;;
855;7,500;5;5;536;744;;;;;;
854;7,500;5;5;534;743;;;;;;
853;7,500;5;5;532;742;;;;;;
852;7,500;5;5;528;741;;;;;;
851;7,500;5;5;526;740;;;;;;
850;6,750;4;4;498;826;;;;;;
849;6,750;4;4;397;807;;;;;;
848;6,750;4;4;248;782;;;;;;
847;4,000;4;4;737;738;;;;;;
846;4,000;4;4;706;707;;;;;;
845;4,000;4;4;685;686;;;;;;
844;4,000;4;4;679;680;;;;;;
843;4,000;4;4;663;664;;;;;;
842;4,000;4;4;651;652;;;;;;
841;4,000;4;4;641;642;;;;;;
840;4,000;4;4;637;638;;;;;;
839;4,000;4;4;635;636;;;;;;
838;4,000;4;4;604;605;;;;;;
837;4,000;4;4;586;587;;;;;;
836;4,000;4;4;582;583;;;;;;
835;4,000;4;4;576;577;;;;;;
